id,name,lat,lon
1,Winnah McVanamy,40.472433,
2,Emlen Collyer,26.731743,115.622147
3,Chick Aberdein,-26.1597581,27.7767972
4,Clement Foyston,38.8794495,-6.9706535
5,Poul Pepper,47.0505635,15.4828066
6,Mason Hyde,24.808198,118.03177
7,Sergeant Heintzsch,-28.051106,-56.0197578
8,Humfried McBoyle,47.6849444,-122.2982224
9,Tedie Jarley,-24.7592533,-51.7601166
10,Pammi Brunger,12.2651512,-85.0778886
11,Pattie Meaden,42.9979838,-76.1377935
12,Nanon Minchinton,25.112046,99.161761
13,Philis Longman,47.221906,-1.605738
14,Fraze Blizard,,123.9321966
15,Ethelda Feldstern,16.0166339,121.0368351
16,Gerianne Mumby,-18.1111446,-49.0009403
17,Shanta Kleinberer,55.195577,47.0592319
18,Faun Grimmert,50.0330752,16.7260055
19,Avram Rosenfield,35.991705,36.3938121
20,Leonelle Tiley,14.9619281,120.8947635
21,Harv Adne,33.3457623,130.785523
22,Ester Meale,4.4339677,-75.8185314
23,Sammie Dalglish,42.54688,72.20921
24,Immanuel Mueller,15.5906551,103.5899733
25,Fin Swetland,41.0610542,24.9613827
26,Iorgos Possel,50.24987,-117.80226
27,Ruddy Sigert,41.57365,120.4493879
28,Berta Blessed,50.0055345,20.5122334
29,Natka Papez,49.7144884,13.6861064
30,Dareen Heimann,-21.9948246,47.3706554
31,Lita Fairchild,-0.670315,100.962601
32,Andres McCrudden,59.2963732,18.068622
33,Sybila Mounfield,13.2874832,6.301229
34,Aggie Tolfrey,14.5404328,
35,Jobi Beddon,23.14855,113.249429
36,Currey Eckert,22.555259,113.884019
37,Sondra Fruchon,42.7066497,23.3067353
38,Ennis Fabbro,41.4850622,-7.9607378
39,Wally McInerney,32.99095,
40,Patsy Douglas,14.3291647,120.9756165
41,Elliott Boame,47.719429,107.795502
42,Tonye Roxburch,40.8913038,20.6779776
43,Aeriela Davisson,49.5111458,17.5282441
44,Ashby Fivey,-6.2691666,106.05
45,Gratiana Ewles,53.9854,
46,Ettore Cowwell,-6.614938,120.43382
47,Waylin Goundsy,-8.0526,113.7809
48,Wayne Lampet,37.751046,-25.670123
49,Ramon Ginie,6.9791945,39.1803741
50,Fayina Devigne,34.2292129,70.1932084
51,Constancy Cymper,45.506995,
52,Addy Ellsworthe,7.20312,124.796217
53,Reidar Mackerel,55.6697682,12.534394
54,Gray Brame,9.614603,8.39358
55,Antin Cancellieri,31.87022,35.12682
56,Codee Milam,20.4314732,96.1367935
57,Emmery Moyce,-6.8982,113.1705
58,Theo Dericot,51.56668,-101.90093
59,Georgeanne Nesey,-6.2074293,
60,Mauricio Kemmer,21.48227,109.924347
61,Milli Ackland,-6.8907337,111.2785407
62,Guenevere Stalf,41.0057729,71.6436028
63,Storm Havenhand,0.3144046,32.9888319
64,Nicky Baggarley,43.4945737,5.8978018
